No.,Name,Height,Weight,Position,Hometown,High school,College of Choice,year
5,Mohamed Bamba,7-0,215,C/PF,"Westtown, Pennsylvania",Westtown School,Texas^~,2017
3,Wendell Carter Jr.,6-10,262,PF/C,"Atlanta, Georgia",Pace Academy,Duke,2017
4,Trevon Duval,6-2,175,PG,"Bradenton, Florida",IMG Academy,Duke^~,2017
22,Quade Green,6-0,170,PG,"Philadelphia, Pennsylvania",Neumann Goretti High School,Kentucky,2017
7,Kevin Knox,6-9,205,SF,"Tampa, Florida",Tampa Catholic High School,Kentucky^~,2017
11,Nick Richards,6-11,220,C,"Elizabeth, New Jersey",St. Patrick High School,Kentucky,2017
9,Mitchell Robinson,7-0,230,C,"Chalmette, Louisiana",Chalmette High School,Western Kentucky†,2017
10,Collin Sexton,6-2,182,SG,"Mableton, Georgia",Pebblebrook High School,Alabama,2017
18,Lonnie Walker IV,6-5,210,PG/SG,"Reading, Pennsylvania",Reading High School,Miami,2017
14,P. J. Washington,6-7,230,SF/PF,"Dallas, Texas",Findlay Prep,Kentucky,2017
13,Kris Wilkes,6-8,168,SF/PF,"Indianapolis, Indiana",North Central High School,UCLA,2017
23,Jarred Vanderbilt,6-9,213,SF,"Houston, Texas",Victory Prep School,Kentucky,2017
2,Deandre Ayton,7-0,235,C,"Phoenix, Arizona",Hillcrest Prep,Arizona,2017
12,Brian Bowen,6-7,212,SF/PF,"LaPorte, Indiana",La Lumiere School,Louisville‡,2017
17,Troy Brown Jr.,6-7,205,SF/PF,"Las Vegas, Nevada",Centennial High School,Oregon,2017
26,Jaylen Hands,6-3,170,PG,"El Cajon, California",Foothills Christian School,UCLA,2017
16,Jaren Jackson Jr.,6-11,235,PF/C,"LaPorte, Indiana",La Lumiere School,Michigan State,2017
6,Brandon McCoy,7-0,245,C,"San Diego, California",Cathedral Catholic High School,UNLV^~,2017
30,Charles O'Bannon Jr.,6-6,200,SF,"Las Vegas, Nevada",Bishop Gorman High School,USC,2017
1,Michael Porter Jr.,6-10,210,SF,"Seattle, Washington",Nathan Hale High School,Missouri,2017
20,Billy Preston,6-9,220,PF,"Santa Ana, California",Oak Hill Academy,Kansas,2017
8,Gary Trent Jr.,6-5,190,SG,"Napa, California",Prolific Prep Academy,Duke,2017
19,M. J. Walker,6-5,207,SG,"Jonesboro, Georgia",Jonesboro High School,Florida State^~,2017
15,Trae Young,6-2,176,PG,"Norman, Oklahoma",Norman North High School,Oklahoma^,2017
1,RJ Barrett,6-7,200,SF,"Mississauga, Ontario",Montverde Academy,Duke,2018
17,Moses Brown,7-1,241,C,"Briarwood, Queens",Archbishop Molloy High School,UCLA,2018
11,Darius Garland,6-2,175,PG,"Brentwood, Tennessee",Brentwood Academy,Vanderbilt,2018
21,Louis King,6-7,204,SF,"Columbus, New Jersey",Hudson Catholic High School,Oregon,2018
5,Romeo Langford,6-4,195,SG,"New Albany, Indiana",New Albany High School,Indiana,2018
33,David McCormack,6-10,255,C,"Norfolk, Virginia",Oak Hill Academy,Kansas,2018
31,E. J. Montgomery,6-10,215,PF,"Marietta, Georgia",Joseph Wheeler High School,Kentucky,2018
12,Immanuel Quickley,6-3,180,PG,"Havre de Grace, Maryland",The John Carroll School,Kentucky,2018
18,Naz Reid,6-10,240,PF,"Asbury Park, New Jersey",Roselle Catholic High School,LSU,2018
15,Jalen Smith,6-9,195,PF,"Baltimore, Maryland",Mount Saint Joseph High School,Maryland,2018
25,Coby White,6-4,165,PG,"Goldsboro, North Carolina",Greenfield High School,North Carolina,2018
2,Zion Williamson,6-6,272,PF,"Spartanburg, South Carolina",Spartanburg Day School,Duke,2018
9,Darius Bazley,6-8,195,PF,"Cincinnati, Ohio",Princeton High School (Ohio),Syracuse†,2018
4,Bol Bol,7-2,220,C,"Henderson, Nevada",Findlay Prep,Oregon,2018
30,Jordan Brown,6-10,205,C,"Napa, California",Prolific Prep,Nevada,2018
24,Devon Dotson,6-2,175,PG,"Charlotte, North Carolina",Providence Day School,Kansas,2018
13,Quentin Grimes,6-4,204,SG,"The Woodlands, Texas",The Woodlands College Park High School,Kansas,2018
7,Keldon Johnson,6-5,205,SF,"South Hill, Virginia",Oak Hill Academy,Kentucky,2018
10,Tre Jones,6-2,183,PG,"Apple Valley, Minnesota",Apple Valley High School,Duke,2018
14,Nassir Little,6-7,215,SF,"Orange Park, Florida",Orlando Christian Prep,North Carolina,2018
16,Reggie Perry,6-8,239,PF,"Thomasville, Georgia",Thomasville High School,Mississippi State,2018
23,Jahvon Quinerly,6-1,160,PG,"Hackensack, New Jersey",Hudson Catholic High School,Villanova,2018
3,Cam Reddish,6-8,203,SF,"Norristown, Pennsylvania",Westtown School,Duke,2018
6,Simisola Shittu,6-9,220,PF,"Burlington, Ontario",Vermont Academy,Vanderbilt,2018
16,Precious Achiuwa,6-9,215,SF,"Bronx, New York",Montverde Academy,Memphis,2019
2,Cole Anthony,6-3,185,PG,"Briarwood, New York",Oak Hill Academy,North Carolina,2019
18,Armando Bacot,6-10,230,C,"Richmond, Virginia",IMG Academy,North Carolina,2019
3,Vernon Carey Jr.,6-10,275,C,"Southwest Ranches, Florida",NSU University School,Duke,2019
5,Anthony Edwards,6-4,205,SG,"Atlanta, Georgia",Holy Spirit Preparatory School,Georgia,2019
25,Trayce Jackson-Davis,6-9,231,C,"Greenwood, Indiana",Center Grove High School,Indiana,2019
21,Josiah-Jordan James,6-6,200,PG,"Charleston, South Carolina",Porter-Gaud School,Tennessee,2019
12,Scottie Lewis,6-5,185,SF,"Colts Neck Township, New Jersey",Ranney School,Florida,2019
6,Jaden McDaniels,6-10,185,PF,"Federal Way, Washington",Federal Way High School,Washington,2019
19,Wendell Moore,6-6,215,SF,"Charlotte, North Carolina",Cox Mill High School,Duke,2019
4,Isaiah Stewart,6-9,245,C,"Rochester, New York",La Lumiere School,Washington,2019
22,Trendon Watford,6-8,210,PF,"Mountain Brook, Alabama",Mountain Brook High School,LSU,2019
14,Bryan Antoine,6-5,170,SG,"Tinton Falls, New Jersey",Ranney School,Villanova,2019
7,Josh Green,6-6,206,SG,"Bradenton, Florida",IMG Academy,Arizona,2019
10,Matthew Hurt,6-8,214,PF,"Rochester, Minnesota",John Marshall High School,Duke,2019
32,Tre Mann,6-4,185,PG,"Gainesville, Florida",The Villages Charter High School,Florida,2019
8,Nico Mannion,6-3,180,PG,"Scottsdale, Arizona",Pinnacle High School,Arizona,2019
11,Tyrese Maxey,6-4,185,SG,"Garland, Texas",South Garland High School,Kentucky,2019
15,Isaiah Mobley,6-9,210,PF,"Temecula, California",Rancho Christian School,USC,2019
20,Jeremiah Robinson-Earl,6-9,235,PF,"Overland Park, Kansas",IMG Academy,Villanova,2019
37,Oscar Tshiebwe,6-8,230,C,"Sharon, Pennsylvania",Kennedy Catholic High School,West Virginia,2019
9,Kahlil Whitney,6-7,200,SF,"Roselle, New Jersey",Roselle Catholic High School,Kentucky,2019
33,Samuell Williamson,6-7,190,SF,"Rockwall, Texas",Rockwall High School,Louisville,2019
1,James Wiseman,7-0,230,C,"Memphis, Tennessee",East High School,Memphis,2019
4,Scottie Barnes,6-8,210,PF,"West Palm Beach, Florida",Montverde Academy,Florida State,2020
8,Terrence Clarke,6-7,190,SF,"Boston, Massachusetts",Brewster Academy,Kentucky,2020
19,Sharife Cooper,6-0,160,PG,"Powder Springs, Georgia",McEachern High School,Auburn,2020
3,Cade Cunningham,6-7,215,PG,"Arlington, Texas",Montverde Academy,Oklahoma State,2020
39,R. J. Davis,6-1,165,PG,"White Plains, New York",Archbishop Stepinac High School,North Carolina,2020
43,Dawson Garcia,6-9,210,PF,"Prior Lake, Minnesota",Prior Lake High School,Marquette,2020
18,Jeremy Roach,6-2,180,PG,"Leesburg, Virginia",Paul VI Catholic High School,Duke,2020
11,Day'Ron Sharpe,6-9,225,C,"Winterville, North Carolina",Montverde Academy,North Carolina,2020
16,Jaden Springer,6-5,210,SG,"Charlotte, North Carolina",IMG Academy,Tennessee,2020
27,Bryce Thompson,6-4,167,SG,"Tulsa, Oklahoma",Booker T. Washington High School,Kansas,2020
13,Isaiah Todd,6-9,215,PF,"Richmond, Virginia",Word of God Christian Academy,—,2020
28,Mark Williams,7-0,230,C,"Norfolk, Virginia",IMG Academy,Duke,2020
6,BJ Boston,6-6,175,SF,"Chatsworth, California",Sierra Canyon School,Kentucky,2020
9,Greg Brown,6-8,205,PF,"Austin, Texas",Vandegrift High School,Texas,2020
21,Nimari Burnett,6-3,190,SG,"Chicago, Illinois",Prolific Prep,Texas Tech,2020
10,Josh Christopher,6-4,205,SG,"Lakewood, California",Mayfair High School,Arizona State,2020
1,Jalen Green,6-5,180,SG,"Fresno, California",Prolific Prep,—,2020
14,Walker Kessler,6-11,220,C,"Fairburn, Georgia",Woodward Academy,North Carolina,2020
17,Caleb Love,6-3,180,PG,"St. Louis, Missouri",Christian Brothers College High School,North Carolina,2020
2,Evan Mobley,7-0,205,C,"Temecula, California",Rancho Christian School,USC,2020
20,Daishen Nix,6-3,190,PG,"Las Vegas, Nevada",Trinity International School,—,2020
23,DJ Steward,6-3,160,SG,"Chicago, Illinois",Whitney M. Young Magnet High School,Duke,2020
5,Jalen Suggs,6-4,195,PG,"Minneapolis, Minnesota",Minnehaha Academy,Gonzaga,2020
7,Ziaire Williams,6-8,180,SF,"Chatsworth, California",Sierra Canyon School,Stanford,2020
