Wk,Date,Rk.1,Prev,Chng,team,team_location
8,2004-01-05,12,9,3,UNC,"Chapel Hill, North Carolina"
9,2004-01-12,9,12,3,UNC,"Chapel Hill, North Carolina"
10,2004-01-19,7,9,2,UNC,"Chapel Hill, North Carolina"
11,2004-01-26,12,7,5,UNC,"Chapel Hill, North Carolina"
12,2004-02-02,17,12,5,UNC,"Chapel Hill, North Carolina"
13,2004-02-09,14,17,3,UNC,"Chapel Hill, North Carolina"
14,2004-02-16,16,14,2,UNC,"Chapel Hill, North Carolina"
15,2004-02-23,12,16,4,UNC,"Chapel Hill, North Carolina"
16,2004-03-01,14,12,2,UNC,"Chapel Hill, North Carolina"
17,2004-03-08,16,14,2,UNC,"Chapel Hill, North Carolina"
18,Final,18,16,2,UNC,"Chapel Hill, North Carolina"
4,2002-12-02,12,,,UNC,"Chapel Hill, North Carolina"
5,2002-12-09,22,12,10,UNC,"Chapel Hill, North Carolina"
6,2002-12-16,23,22,1,UNC,"Chapel Hill, North Carolina"
7,2002-12-23,22,23,1,UNC,"Chapel Hill, North Carolina"
1,Preseason,19,,—,UNC,"Chapel Hill, North Carolina"
1,Preseason,6,,—,UNC,"Chapel Hill, North Carolina"
2,2000-11-13,7,6,1,UNC,"Chapel Hill, North Carolina"
3,2000-11-20,7,7,-,UNC,"Chapel Hill, North Carolina"
4,2000-11-27,6,7,1,UNC,"Chapel Hill, North Carolina"
5,2000-12-04,14,6,8,UNC,"Chapel Hill, North Carolina"
6,2000-12-11,15,14,1,UNC,"Chapel Hill, North Carolina"
7,2000-12-18,15,15,-,UNC,"Chapel Hill, North Carolina"
8,2000-12-25,14,15,1,UNC,"Chapel Hill, North Carolina"
9,2001-01-01,13,14,1,UNC,"Chapel Hill, North Carolina"
10,2001-01-08,9,13,4,UNC,"Chapel Hill, North Carolina"
11,2001-01-15,6,9,3,UNC,"Chapel Hill, North Carolina"
12,2001-01-22,5,6,1,UNC,"Chapel Hill, North Carolina"
13,2001-01-29,4,5,1,UNC,"Chapel Hill, North Carolina"
14,2001-02-05,1,4,3,UNC,"Chapel Hill, North Carolina"
15,2001-02-12,1,1,-,UNC,"Chapel Hill, North Carolina"
16,2001-02-19,2,1,1,UNC,"Chapel Hill, North Carolina"
17,2001-02-26,4,2,2,UNC,"Chapel Hill, North Carolina"
18,2001-03-05,6,4,2,UNC,"Chapel Hill, North Carolina"
19,Final,6,6,-,UNC,"Chapel Hill, North Carolina"
1,Preseason,6,,—,UNC,"Chapel Hill, North Carolina"
2,1999-11-15,5,6,1,UNC,"Chapel Hill, North Carolina"
3,1999-11-22,4,5,1,UNC,"Chapel Hill, North Carolina"
4,1999-11-29,2,4,2,UNC,"Chapel Hill, North Carolina"
5,1999-12-06,7,2,5,UNC,"Chapel Hill, North Carolina"
6,1999-12-13,7,7,-,UNC,"Chapel Hill, North Carolina"
7,1999-12-20,6,7,1,UNC,"Chapel Hill, North Carolina"
8,1999-12-27,13,6,7,UNC,"Chapel Hill, North Carolina"
9,2000-01-03,14,13,1,UNC,"Chapel Hill, North Carolina"
10,2000-01-10,13,14,1,UNC,"Chapel Hill, North Carolina"
11,2000-01-17,21,13,8,UNC,"Chapel Hill, North Carolina"
1,Preseason,11,,—,UNC,"Chapel Hill, North Carolina"
2,1998-11-16,10,11,1,UNC,"Chapel Hill, North Carolina"
3,1998-11-23,9,10,1,UNC,"Chapel Hill, North Carolina"
4,1998-11-30,3,9,6,UNC,"Chapel Hill, North Carolina"
5,1998-12-07,7,3,4,UNC,"Chapel Hill, North Carolina"
6,1998-12-14,7,7,-,UNC,"Chapel Hill, North Carolina"
7,1998-12-21,7,7,-,UNC,"Chapel Hill, North Carolina"
8,1998-12-28,9,7,2,UNC,"Chapel Hill, North Carolina"
9,1999-01-04,11,9,2,UNC,"Chapel Hill, North Carolina"
10,1999-01-11,9,11,2,UNC,"Chapel Hill, North Carolina"
11,1999-01-18,10,9,1,UNC,"Chapel Hill, North Carolina"
12,1999-01-25,10,10,-,UNC,"Chapel Hill, North Carolina"
13,1999-02-01,12,10,2,UNC,"Chapel Hill, North Carolina"
14,1999-02-08,12,12,-,UNC,"Chapel Hill, North Carolina"
15,1999-02-15,14,12,2,UNC,"Chapel Hill, North Carolina"
16,1999-02-22,14,14,-,UNC,"Chapel Hill, North Carolina"
17,1999-03-01,15,14,1,UNC,"Chapel Hill, North Carolina"
18,Final,13,15,2,UNC,"Chapel Hill, North Carolina"
1,Preseason,4,,—,UNC,"Chapel Hill, North Carolina"
2,1997-11-17,4,4,-,UNC,"Chapel Hill, North Carolina"
3,1997-11-24,4,4,-,UNC,"Chapel Hill, North Carolina"
4,1997-12-01,3,4,1,UNC,"Chapel Hill, North Carolina"
5,1997-12-08,2,3,1,UNC,"Chapel Hill, North Carolina"
6,1997-12-15,1,2,1,UNC,"Chapel Hill, North Carolina"
7,1997-12-22,1,1,-,UNC,"Chapel Hill, North Carolina"
8,1997-12-29,1,1,-,UNC,"Chapel Hill, North Carolina"
9,1998-01-05,1,1,-,UNC,"Chapel Hill, North Carolina"
10,1998-01-12,1,1,-,UNC,"Chapel Hill, North Carolina"
11,1998-01-19,2,1,1,UNC,"Chapel Hill, North Carolina"
12,1998-01-26,2,2,-,UNC,"Chapel Hill, North Carolina"
13,1998-02-02,2,2,-,UNC,"Chapel Hill, North Carolina"
14,1998-02-09,1,2,1,UNC,"Chapel Hill, North Carolina"
15,1998-02-16,1,1,-,UNC,"Chapel Hill, North Carolina"
16,1998-02-23,3,1,2,UNC,"Chapel Hill, North Carolina"
17,1998-03-02,4,3,1,UNC,"Chapel Hill, North Carolina"
18,Final,1,4,3,UNC,"Chapel Hill, North Carolina"
1,Preseason,8,,—,UNC,"Chapel Hill, North Carolina"
2,1996-11-18,7,8,1,UNC,"Chapel Hill, North Carolina"
3,1996-11-25,14,7,7,UNC,"Chapel Hill, North Carolina"
4,1996-12-02,14,14,-,UNC,"Chapel Hill, North Carolina"
5,1996-12-09,11,14,3,UNC,"Chapel Hill, North Carolina"
6,1996-12-16,12,11,1,UNC,"Chapel Hill, North Carolina"
7,1996-12-23,11,12,1,UNC,"Chapel Hill, North Carolina"
8,1996-12-30,11,11,-,UNC,"Chapel Hill, North Carolina"
9,1997-01-06,13,11,2,UNC,"Chapel Hill, North Carolina"
10,1997-01-13,22,13,9,UNC,"Chapel Hill, North Carolina"
11,1997-01-20,19,22,3,UNC,"Chapel Hill, North Carolina"
12,1997-01-27,19,19,-,UNC,"Chapel Hill, North Carolina"
13,1997-02-03,20,19,1,UNC,"Chapel Hill, North Carolina"
14,1997-02-10,16,20,4,UNC,"Chapel Hill, North Carolina"
15,1997-02-17,12,16,4,UNC,"Chapel Hill, North Carolina"
16,1997-02-24,8,12,4,UNC,"Chapel Hill, North Carolina"
17,1997-03-03,5,8,3,UNC,"Chapel Hill, North Carolina"
18,Final,4,5,1,UNC,"Chapel Hill, North Carolina"
1,Preseason,20,,—,UNC,"Chapel Hill, North Carolina"
2,1995-11-20,20,20,-,UNC,"Chapel Hill, North Carolina"
3,1995-11-27,17,20,3,UNC,"Chapel Hill, North Carolina"
4,1995-12-04,13,17,4,UNC,"Chapel Hill, North Carolina"
5,1995-12-11,10,13,3,UNC,"Chapel Hill, North Carolina"
6,1995-12-18,11,10,1,UNC,"Chapel Hill, North Carolina"
7,1995-12-25,11,11,-,UNC,"Chapel Hill, North Carolina"
8,1996-01-01,16,11,5,UNC,"Chapel Hill, North Carolina"
9,1996-01-08,10,16,6,UNC,"Chapel Hill, North Carolina"
10,1996-01-15,10,10,-,UNC,"Chapel Hill, North Carolina"
11,1996-01-22,11,10,1,UNC,"Chapel Hill, North Carolina"
12,1996-01-29,8,11,3,UNC,"Chapel Hill, North Carolina"
13,1996-02-05,12,8,4,UNC,"Chapel Hill, North Carolina"
14,1996-02-12,17,12,5,UNC,"Chapel Hill, North Carolina"
15,1996-02-19,17,17,-,UNC,"Chapel Hill, North Carolina"
16,1996-02-26,19,17,2,UNC,"Chapel Hill, North Carolina"
17,1996-03-04,20,19,1,UNC,"Chapel Hill, North Carolina"
18,Final,25,20,5,UNC,"Chapel Hill, North Carolina"
1,Preseason,2,,—,UNC,"Chapel Hill, North Carolina"
2,1994-11-21,2,2,-,UNC,"Chapel Hill, North Carolina"
3,1994-11-28,2,2,-,UNC,"Chapel Hill, North Carolina"
4,1994-12-05,1,2,1,UNC,"Chapel Hill, North Carolina"
5,1994-12-12,1,1,-,UNC,"Chapel Hill, North Carolina"
6,1994-12-19,1,1,-,UNC,"Chapel Hill, North Carolina"
7,1994-12-26,1,1,-,UNC,"Chapel Hill, North Carolina"
8,1995-01-02,1,1,-,UNC,"Chapel Hill, North Carolina"
9,1995-01-09,4,1,3,UNC,"Chapel Hill, North Carolina"
10,1995-01-16,3,4,1,UNC,"Chapel Hill, North Carolina"
11,1995-01-23,3,3,-,UNC,"Chapel Hill, North Carolina"
12,1995-01-30,2,3,1,UNC,"Chapel Hill, North Carolina"
13,1995-02-06,1,2,1,UNC,"Chapel Hill, North Carolina"
14,1995-02-13,2,1,1,UNC,"Chapel Hill, North Carolina"
15,1995-02-20,3,2,1,UNC,"Chapel Hill, North Carolina"
16,1995-02-27,2,3,1,UNC,"Chapel Hill, North Carolina"
17,1995-03-06,4,2,2,UNC,"Chapel Hill, North Carolina"
18,Final,4,4,-,UNC,"Chapel Hill, North Carolina"
1,Preseason,1,,—,UNC,"Chapel Hill, North Carolina"
2,1993-11-22,1,1,-,UNC,"Chapel Hill, North Carolina"
3,1993-11-29,4,1,3,UNC,"Chapel Hill, North Carolina"
4,1993-12-06,2,4,2,UNC,"Chapel Hill, North Carolina"
5,1993-12-13,2,2,-,UNC,"Chapel Hill, North Carolina"
6,1993-12-20,2,2,-,UNC,"Chapel Hill, North Carolina"
7,1993-12-27,2,2,-,UNC,"Chapel Hill, North Carolina"
8,1994-01-03,2,2,-,UNC,"Chapel Hill, North Carolina"
9,1994-01-10,1,2,1,UNC,"Chapel Hill, North Carolina"
10,1994-01-17,4,1,3,UNC,"Chapel Hill, North Carolina"
11,1994-01-24,4,4,-,UNC,"Chapel Hill, North Carolina"
12,1994-01-31,2,4,2,UNC,"Chapel Hill, North Carolina"
13,1994-02-07,1,2,1,UNC,"Chapel Hill, North Carolina"
14,1994-02-14,2,1,1,UNC,"Chapel Hill, North Carolina"
15,1994-02-21,4,2,2,UNC,"Chapel Hill, North Carolina"
16,1994-02-28,5,4,1,UNC,"Chapel Hill, North Carolina"
17,1994-03-07,4,5,1,UNC,"Chapel Hill, North Carolina"
18,Final,1,4,3,UNC,"Chapel Hill, North Carolina"
1,Preseason,7,,—,UNC,"Chapel Hill, North Carolina"
2,1992-11-23,8,7,1,UNC,"Chapel Hill, North Carolina"
3,1992-11-30,7,8,1,UNC,"Chapel Hill, North Carolina"
4,1992-12-07,5,7,2,UNC,"Chapel Hill, North Carolina"
5,1992-12-14,5,5,-,UNC,"Chapel Hill, North Carolina"
6,1992-12-21,5,5,-,UNC,"Chapel Hill, North Carolina"
7,1992-12-28,5,5,-,UNC,"Chapel Hill, North Carolina"
8,1993-01-04,6,5,1,UNC,"Chapel Hill, North Carolina"
9,1993-01-11,5,6,1,UNC,"Chapel Hill, North Carolina"
10,1993-01-18,3,5,2,UNC,"Chapel Hill, North Carolina"
11,1993-01-25,3,3,-,UNC,"Chapel Hill, North Carolina"
12,1993-02-01,6,3,3,UNC,"Chapel Hill, North Carolina"
13,1993-02-08,6,6,-,UNC,"Chapel Hill, North Carolina"
14,1993-02-15,3,6,3,UNC,"Chapel Hill, North Carolina"
15,1993-02-22,3,3,-,UNC,"Chapel Hill, North Carolina"
16,1993-03-01,1,3,2,UNC,"Chapel Hill, North Carolina"
17,1993-03-08,1,1,-,UNC,"Chapel Hill, North Carolina"
18,Final,4,1,3,UNC,"Chapel Hill, North Carolina"
1,Preseason,8,,—,UNC,"Chapel Hill, North Carolina"
2,1991-11-25,6,8,2,UNC,"Chapel Hill, North Carolina"
3,1991-12-02,5,6,1,UNC,"Chapel Hill, North Carolina"
4,1991-12-09,5,5,-,UNC,"Chapel Hill, North Carolina"
5,1991-12-16,9,5,4,UNC,"Chapel Hill, North Carolina"
6,1991-12-23,8,9,1,UNC,"Chapel Hill, North Carolina"
7,1991-12-30,8,8,-,UNC,"Chapel Hill, North Carolina"
8,1992-01-06,8,8,-,UNC,"Chapel Hill, North Carolina"
9,1992-01-13,14,8,6,UNC,"Chapel Hill, North Carolina"
10,1992-01-20,10,14,4,UNC,"Chapel Hill, North Carolina"
11,1992-01-27,11,10,1,UNC,"Chapel Hill, North Carolina"
12,1992-02-03,9,11,2,UNC,"Chapel Hill, North Carolina"
13,1992-02-10,6,9,3,UNC,"Chapel Hill, North Carolina"
14,1992-02-17,4,6,2,UNC,"Chapel Hill, North Carolina"
15,1992-02-24,10,4,6,UNC,"Chapel Hill, North Carolina"
16,1992-03-02,16,10,6,UNC,"Chapel Hill, North Carolina"
17,1992-03-09,20,16,4,UNC,"Chapel Hill, North Carolina"
18,Final,18,20,2,UNC,"Chapel Hill, North Carolina"
1,Preseason,5,,—,UNC,"Chapel Hill, North Carolina"
2,1990-11-26,4,5,1,UNC,"Chapel Hill, North Carolina"
3,1990-12-03,10,4,6,UNC,"Chapel Hill, North Carolina"
4,1990-12-10,9,10,1,UNC,"Chapel Hill, North Carolina"
5,1990-12-17,8,9,1,UNC,"Chapel Hill, North Carolina"
6,1990-12-24,7,8,1,UNC,"Chapel Hill, North Carolina"
7,1990-12-31,7,7,-,UNC,"Chapel Hill, North Carolina"
8,1991-01-07,5,7,2,UNC,"Chapel Hill, North Carolina"
9,1991-01-14,5,5,-,UNC,"Chapel Hill, North Carolina"
10,1991-01-21,7,5,2,UNC,"Chapel Hill, North Carolina"
11,1991-01-28,9,7,2,UNC,"Chapel Hill, North Carolina"
12,1991-02-04,9,9,-,UNC,"Chapel Hill, North Carolina"
13,1991-02-11,8,9,1,UNC,"Chapel Hill, North Carolina"
14,1991-02-18,6,8,2,UNC,"Chapel Hill, North Carolina"
15,1991-02-25,4,6,2,UNC,"Chapel Hill, North Carolina"
16,1991-03-04,7,4,3,UNC,"Chapel Hill, North Carolina"
17,Final,4,7,3,UNC,"Chapel Hill, North Carolina"
1,Preseason,7,,—,UNC,"Chapel Hill, North Carolina"
2,1989-11-27,12,7,5,UNC,"Chapel Hill, North Carolina"
3,1989-12-04,17,12,5,UNC,"Chapel Hill, North Carolina"
6,1989-12-25,24,,,UNC,"Chapel Hill, North Carolina"
11,1990-01-29,25,,,UNC,"Chapel Hill, North Carolina"
1,Preseason,6,,—,UNC,"Chapel Hill, North Carolina"
2,1988-11-21,5,6,1,UNC,"Chapel Hill, North Carolina"
3,1988-11-28,10,5,5,UNC,"Chapel Hill, North Carolina"
4,1988-12-05,8,10,2,UNC,"Chapel Hill, North Carolina"
5,1988-12-12,8,8,-,UNC,"Chapel Hill, North Carolina"
6,1988-12-19,8,8,-,UNC,"Chapel Hill, North Carolina"
7,1988-12-26,7,8,1,UNC,"Chapel Hill, North Carolina"
8,1989-01-02,6,7,1,UNC,"Chapel Hill, North Carolina"
9,1989-01-09,8,6,2,UNC,"Chapel Hill, North Carolina"
10,1989-01-16,13,8,5,UNC,"Chapel Hill, North Carolina"
11,1989-01-23,7,13,6,UNC,"Chapel Hill, North Carolina"
12,1989-01-30,3,7,4,UNC,"Chapel Hill, North Carolina"
13,1989-02-06,6,3,3,UNC,"Chapel Hill, North Carolina"
14,1989-02-13,8,6,2,UNC,"Chapel Hill, North Carolina"
15,1989-02-20,5,8,3,UNC,"Chapel Hill, North Carolina"
16,1989-02-27,5,5,-,UNC,"Chapel Hill, North Carolina"
17,1989-03-06,9,5,4,UNC,"Chapel Hill, North Carolina"
18,Final,5,9,4,UNC,"Chapel Hill, North Carolina"
1,Preseason,3,,—,UNC,"Chapel Hill, North Carolina"
2,1987-11-30,1,3,2,UNC,"Chapel Hill, North Carolina"
3,1987-12-07,5,1,4,UNC,"Chapel Hill, North Carolina"
4,1987-12-14,4,5,1,UNC,"Chapel Hill, North Carolina"
5,1987-12-21,4,4,-,UNC,"Chapel Hill, North Carolina"
6,1987-12-28,4,4,-,UNC,"Chapel Hill, North Carolina"
7,1988-01-04,4,4,-,UNC,"Chapel Hill, North Carolina"
8,1988-01-11,2,4,2,UNC,"Chapel Hill, North Carolina"
9,1988-01-18,2,2,-,UNC,"Chapel Hill, North Carolina"
10,1988-01-25,3,2,1,UNC,"Chapel Hill, North Carolina"
11,1988-02-01,8,3,5,UNC,"Chapel Hill, North Carolina"
12,1988-02-08,6,8,2,UNC,"Chapel Hill, North Carolina"
13,1988-02-15,5,6,1,UNC,"Chapel Hill, North Carolina"
14,1988-02-22,9,5,4,UNC,"Chapel Hill, North Carolina"
15,1988-02-29,6,9,3,UNC,"Chapel Hill, North Carolina"
16,1988-03-07,9,6,3,UNC,"Chapel Hill, North Carolina"
17,Final,7,9,2,UNC,"Chapel Hill, North Carolina"
1,Preseason,1,,—,UNC,"Chapel Hill, North Carolina"
2,1986-12-01,1,1,-,UNC,"Chapel Hill, North Carolina"
3,1986-12-08,5,1,4,UNC,"Chapel Hill, North Carolina"
4,1986-12-15,4,5,1,UNC,"Chapel Hill, North Carolina"
5,1986-12-22,4,4,-,UNC,"Chapel Hill, North Carolina"
6,1986-12-29,4,4,-,UNC,"Chapel Hill, North Carolina"
7,1987-01-05,3,4,1,UNC,"Chapel Hill, North Carolina"
8,1987-01-12,3,3,-,UNC,"Chapel Hill, North Carolina"
9,1987-01-19,2,3,1,UNC,"Chapel Hill, North Carolina"
10,1987-01-26,1,2,1,UNC,"Chapel Hill, North Carolina"
11,1987-02-02,3,1,2,UNC,"Chapel Hill, North Carolina"
12,1987-02-09,3,3,-,UNC,"Chapel Hill, North Carolina"
13,1987-02-16,3,3,-,UNC,"Chapel Hill, North Carolina"
14,1987-02-23,2,3,1,UNC,"Chapel Hill, North Carolina"
15,1987-03-02,2,2,-,UNC,"Chapel Hill, North Carolina"
16,Final,2,2,-,UNC,"Chapel Hill, North Carolina"
1,Preseason,2,,—,UNC,"Chapel Hill, North Carolina"
2,1985-11-25,1,2,1,UNC,"Chapel Hill, North Carolina"
3,1985-12-02,1,1,-,UNC,"Chapel Hill, North Carolina"
4,1985-12-09,1,1,-,UNC,"Chapel Hill, North Carolina"
5,1985-12-16,1,1,-,UNC,"Chapel Hill, North Carolina"
6,1985-12-23,1,1,-,UNC,"Chapel Hill, North Carolina"
7,1985-12-30,1,1,-,UNC,"Chapel Hill, North Carolina"
8,1986-01-06,1,1,-,UNC,"Chapel Hill, North Carolina"
9,1986-01-13,1,1,-,UNC,"Chapel Hill, North Carolina"
10,1986-01-20,1,1,-,UNC,"Chapel Hill, North Carolina"
11,1986-01-27,1,1,-,UNC,"Chapel Hill, North Carolina"
12,1986-02-03,1,1,-,UNC,"Chapel Hill, North Carolina"
13,1986-02-10,1,1,-,UNC,"Chapel Hill, North Carolina"
14,1986-02-17,1,1,-,UNC,"Chapel Hill, North Carolina"
15,1986-02-24,3,1,2,UNC,"Chapel Hill, North Carolina"
16,1986-03-03,4,3,1,UNC,"Chapel Hill, North Carolina"
17,Final,8,4,4,UNC,"Chapel Hill, North Carolina"
2,1984-11-26,19,,,UNC,"Chapel Hill, North Carolina"
3,1984-12-03,16,19,3,UNC,"Chapel Hill, North Carolina"
4,1984-12-10,13,16,3,UNC,"Chapel Hill, North Carolina"
5,1984-12-17,10,13,3,UNC,"Chapel Hill, North Carolina"
6,1984-12-24,7,10,3,UNC,"Chapel Hill, North Carolina"
7,1984-12-31,9,7,2,UNC,"Chapel Hill, North Carolina"
8,1985-01-07,5,9,4,UNC,"Chapel Hill, North Carolina"
9,1985-01-14,6,5,1,UNC,"Chapel Hill, North Carolina"
10,1985-01-21,8,6,2,UNC,"Chapel Hill, North Carolina"
11,1985-01-28,11,8,3,UNC,"Chapel Hill, North Carolina"
12,1985-02-04,15,11,4,UNC,"Chapel Hill, North Carolina"
13,1985-02-11,13,15,2,UNC,"Chapel Hill, North Carolina"
14,1985-02-18,13,13,-,UNC,"Chapel Hill, North Carolina"
15,1985-02-25,8,13,5,UNC,"Chapel Hill, North Carolina"
16,1985-03-04,6,8,2,UNC,"Chapel Hill, North Carolina"
17,Final,7,6,1,UNC,"Chapel Hill, North Carolina"
1,Preseason,1,,—,UNC,"Chapel Hill, North Carolina"
2,1983-11-28,2,1,1,UNC,"Chapel Hill, North Carolina"
3,1983-12-05,1,2,1,UNC,"Chapel Hill, North Carolina"
4,1983-12-12,1,1,-,UNC,"Chapel Hill, North Carolina"
5,1983-12-19,1,1,-,UNC,"Chapel Hill, North Carolina"
6,1983-12-26,1,1,-,UNC,"Chapel Hill, North Carolina"
7,1984-01-02,1,1,-,UNC,"Chapel Hill, North Carolina"
8,1984-01-09,1,1,-,UNC,"Chapel Hill, North Carolina"
9,1984-01-16,1,1,-,UNC,"Chapel Hill, North Carolina"
10,1984-01-23,1,1,-,UNC,"Chapel Hill, North Carolina"
11,1984-01-30,1,1,-,UNC,"Chapel Hill, North Carolina"
12,1984-02-06,1,1,-,UNC,"Chapel Hill, North Carolina"
13,1984-02-13,1,1,-,UNC,"Chapel Hill, North Carolina"
14,1984-02-20,1,1,-,UNC,"Chapel Hill, North Carolina"
15,1984-02-27,1,1,-,UNC,"Chapel Hill, North Carolina"
16,1984-03-05,1,1,-,UNC,"Chapel Hill, North Carolina"
17,Final,1,1,-,UNC,"Chapel Hill, North Carolina"
1,Preseason,3,,—,UNC,"Chapel Hill, North Carolina"
2,1982-11-29,15,3,12,UNC,"Chapel Hill, North Carolina"
3,1982-12-06,17,15,2,UNC,"Chapel Hill, North Carolina"
4,1982-12-13,17,17,-,UNC,"Chapel Hill, North Carolina"
7,1983-01-03,18,,,UNC,"Chapel Hill, North Carolina"
8,1983-01-10,11,18,7,UNC,"Chapel Hill, North Carolina"
9,1983-01-17,3,11,8,UNC,"Chapel Hill, North Carolina"
10,1983-01-24,3,3,-,UNC,"Chapel Hill, North Carolina"
11,1983-01-31,1,3,2,UNC,"Chapel Hill, North Carolina"
12,1983-02-07,1,1,-,UNC,"Chapel Hill, North Carolina"
13,1983-02-14,3,1,2,UNC,"Chapel Hill, North Carolina"
14,1983-02-21,11,3,8,UNC,"Chapel Hill, North Carolina"
15,1983-02-28,8,11,3,UNC,"Chapel Hill, North Carolina"
16,1983-03-07,5,8,3,UNC,"Chapel Hill, North Carolina"
17,Final,8,5,3,UNC,"Chapel Hill, North Carolina"
1,Preseason,1,,—,UNC,"Chapel Hill, North Carolina"
2,1981-11-30,1,1,-,UNC,"Chapel Hill, North Carolina"
3,1981-12-07,1,1,-,UNC,"Chapel Hill, North Carolina"
4,1981-12-14,1,1,-,UNC,"Chapel Hill, North Carolina"
5,1981-12-21,1,1,-,UNC,"Chapel Hill, North Carolina"
6,1981-12-28,1,1,-,UNC,"Chapel Hill, North Carolina"
7,1982-01-04,1,1,-,UNC,"Chapel Hill, North Carolina"
8,1982-01-11,1,1,-,UNC,"Chapel Hill, North Carolina"
9,1982-01-18,1,1,-,UNC,"Chapel Hill, North Carolina"
10,1982-01-25,2,1,1,UNC,"Chapel Hill, North Carolina"
11,1982-02-01,2,2,-,UNC,"Chapel Hill, North Carolina"
12,1982-02-08,2,2,-,UNC,"Chapel Hill, North Carolina"
13,1982-02-15,2,2,-,UNC,"Chapel Hill, North Carolina"
14,1982-02-22,2,2,-,UNC,"Chapel Hill, North Carolina"
15,1982-03-01,1,2,1,UNC,"Chapel Hill, North Carolina"
16,Final,1,1,-,UNC,"Chapel Hill, North Carolina"
1,Preseason,13,,—,UNC,"Chapel Hill, North Carolina"
2,1980-12-01,10,13,3,UNC,"Chapel Hill, North Carolina"
3,1980-12-08,10,10,-,UNC,"Chapel Hill, North Carolina"
4,1980-12-15,8,10,2,UNC,"Chapel Hill, North Carolina"
5,1980-12-22,6,8,2,UNC,"Chapel Hill, North Carolina"
6,1980-12-29,6,6,-,UNC,"Chapel Hill, North Carolina"
7,1981-01-05,16,6,10,UNC,"Chapel Hill, North Carolina"
8,1981-01-12,17,16,1,UNC,"Chapel Hill, North Carolina"
9,1981-01-19,17,17,-,UNC,"Chapel Hill, North Carolina"
10,1981-01-26,12,17,5,UNC,"Chapel Hill, North Carolina"
11,1981-02-02,11,12,1,UNC,"Chapel Hill, North Carolina"
12,1981-02-09,10,11,1,UNC,"Chapel Hill, North Carolina"
13,1981-02-16,13,10,3,UNC,"Chapel Hill, North Carolina"
14,1981-02-23,11,13,2,UNC,"Chapel Hill, North Carolina"
15,1981-03-02,12,11,1,UNC,"Chapel Hill, North Carolina"
16,Final,6,12,6,UNC,"Chapel Hill, North Carolina"
1,Preseason,6,,—,UNC,"Chapel Hill, North Carolina"
2,1979-12-03,8,6,2,UNC,"Chapel Hill, North Carolina"
3,1979-12-10,8,8,-,UNC,"Chapel Hill, North Carolina"
4,1979-12-17,8,8,-,UNC,"Chapel Hill, North Carolina"
5,1979-12-26,6,8,2,UNC,"Chapel Hill, North Carolina"
6,1980-01-02,6,6,-,UNC,"Chapel Hill, North Carolina"
7,1980-01-07,15,6,9,UNC,"Chapel Hill, North Carolina"
8,1980-01-14,9,15,6,UNC,"Chapel Hill, North Carolina"
9,1980-01-21,13,9,4,UNC,"Chapel Hill, North Carolina"
10,1980-01-28,11,13,2,UNC,"Chapel Hill, North Carolina"
11,1980-02-04,11,11,-,UNC,"Chapel Hill, North Carolina"
12,1980-02-11,11,11,-,UNC,"Chapel Hill, North Carolina"
13,1980-02-18,8,11,3,UNC,"Chapel Hill, North Carolina"
14,1980-02-25,10,8,2,UNC,"Chapel Hill, North Carolina"
15,Final,15,10,5,UNC,"Chapel Hill, North Carolina"
1,Preseason,16,,—,UNC,"Chapel Hill, North Carolina"
2,1978-11-27,14,16,2,UNC,"Chapel Hill, North Carolina"
3,1978-12-04,14,14,-,UNC,"Chapel Hill, North Carolina"
4,1978-12-11,13,14,1,UNC,"Chapel Hill, North Carolina"
5,1978-12-18,6,13,7,UNC,"Chapel Hill, North Carolina"
6,1978-12-25,5,6,1,UNC,"Chapel Hill, North Carolina"
7,1979-01-03,3,5,2,UNC,"Chapel Hill, North Carolina"
8,1979-01-08,3,3,-,UNC,"Chapel Hill, North Carolina"
9,1979-01-15,2,3,1,UNC,"Chapel Hill, North Carolina"
10,1979-01-22,2,2,-,UNC,"Chapel Hill, North Carolina"
11,1979-01-29,4,2,2,UNC,"Chapel Hill, North Carolina"
12,1979-02-05,6,4,2,UNC,"Chapel Hill, North Carolina"
13,1979-02-12,4,6,2,UNC,"Chapel Hill, North Carolina"
14,1979-02-19,4,4,-,UNC,"Chapel Hill, North Carolina"
15,1979-02-26,7,4,3,UNC,"Chapel Hill, North Carolina"
16,1979-03-05,3,7,4,UNC,"Chapel Hill, North Carolina"
17,Final,9,3,6,UNC,"Chapel Hill, North Carolina"
1,Preseason,1,,—,UNC,"Chapel Hill, North Carolina"
2,1977-11-28,2,1,1,UNC,"Chapel Hill, North Carolina"
3,1977-12-05,2,2,-,UNC,"Chapel Hill, North Carolina"
4,1977-12-12,5,2,3,UNC,"Chapel Hill, North Carolina"
5,1977-12-19,3,5,2,UNC,"Chapel Hill, North Carolina"
6,1977-12-26,2,3,1,UNC,"Chapel Hill, North Carolina"
7,1978-01-02,2,2,-,UNC,"Chapel Hill, North Carolina"
8,1978-01-09,2,2,-,UNC,"Chapel Hill, North Carolina"
9,1978-01-16,5,2,3,UNC,"Chapel Hill, North Carolina"
10,1978-01-23,3,5,2,UNC,"Chapel Hill, North Carolina"
11,1978-01-30,6,3,3,UNC,"Chapel Hill, North Carolina"
12,1978-02-06,7,6,1,UNC,"Chapel Hill, North Carolina"
